,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1010,29,29.0,2013-12-27,28-362,MIA,@,SAC,L (-5),1,43:43,12,23,.522,4,9,.444,5,6,.833,0,8,8,8,0,0,2,3,33,26.1,-10
1011,31,30.0,2013-12-30,29-000,MIA,@,DEN,W (+3),1,39:44,8,15,.533,5,9,.556,5,8,.625,1,5,6,10,0,1,4,0,26,23.4,+4
1012,32,31.0,2014-01-02,29-003,MIA,,GSW,L (-9),1,39:34,10,16,.625,1,4,.250,5,8,.625,0,5,5,5,0,1,8,0,26,15.3,-11
1013,33,32.0,2014-01-04,29-005,MIA,@,ORL,W (+16),1,35:55,5,13,.385,0,1,.000,5,8,.625,1,7,8,8,1,0,3,1,15,12.7,+17
1014,34,33.0,2014-01-05,29-006,MIA,,TOR,W (+5),1,37:47,12,18,.667,0,0,,6,7,.857,1,3,4,5,1,0,1,1,30,26.5,+1
1015,35,34.0,2014-01-07,29-008,MIA,,NOP,W (+19),1,35:15,13,22,.591,3,6,.500,3,3,1.000,1,2,3,5,2,0,3,1,32,25.2,+19
1016,36,35.0,2014-01-09,29-010,MIA,@,NYK,L (-10),1,41:25,12,17,.706,1,4,.250,7,11,.636,0,5,5,6,1,1,6,2,32,23.9,+1
1017,37,36.0,2014-01-10,29-011,MIA,@,BRK,L (-9),1,49:22,12,21,.571,2,5,.400,10,12,.833,3,4,7,5,0,0,4,6,36,25.7,-1
1018,38,37.0,2014-01-15,29-016,MIA,@,WAS,L (-17),1,41:04,8,18,.444,0,4,.000,9,10,.900,2,6,8,7,2,0,4,1,25,20.9,-15
1019,39,38.0,2014-01-17,29-018,MIA,@,PHI,W (+15),1,36:31,7,13,.538,0,1,.000,7,8,.875,1,7,8,10,2,1,3,3,21,22.6,+17
1020,40,39.0,2014-01-18,29-019,MIA,@,CHA,W (+8),1,44:52,13,25,.520,0,3,.000,8,10,.800,2,6,8,6,1,0,2,4,34,25.7,+15
1021,41,40.0,2014-01-20,29-021,MIA,@,ATL,L (-7),1,38:43,11,21,.524,3,7,.429,5,8,.625,1,3,4,6,1,0,3,1,30,21.9,0
1022,42,41.0,2014-01-21,29-022,MIA,,BOS,W (+7),1,38:48,10,19,.526,0,4,.000,9,11,.818,1,7,8,4,2,0,3,1,29,23.1,+10
1023,43,42.0,2014-01-23,29-024,MIA,,LAL,W (+7),1,37:18,9,15,.600,2,4,.500,7,13,.538,2,11,13,6,1,0,5,1,27,22.2,+4
1024,44,43.0,2014-01-26,29-027,MIA,,SAS,W (+12),1,27:43,8,15,.533,1,3,.333,1,1,1.000,0,7,7,6,1,0,4,4,18,12.4,+22
1025,45,44.0,2014-01-29,29-030,MIA,,OKC,L (-17),1,42:10,12,20,.600,1,5,.200,9,9,1.000,1,2,3,3,0,0,3,1,34,24.8,-17
1026,46,45.0,2014-02-01,29-033,MIA,@,NYK,W (+15),1,39:06,13,22,.591,1,3,.333,3,6,.500,1,7,8,7,6,0,2,3,30,29.1,+14
1027,47,46.0,2014-02-03,29-035,MIA,,DET,W (+6),1,38:19,9,19,.474,0,3,.000,6,8,.750,1,7,8,11,2,2,1,1,24,26.0,+6
1028,48,47.0,2014-02-05,29-037,MIA,@,LAC,W (+4),1,40:47,11,20,.550,3,7,.429,6,8,.750,1,7,8,12,3,1,7,2,31,27.7,+3
1029,49,48.0,2014-02-08,29-040,MIA,@,UTA,L (-5),1,39:21,4,13,.308,1,6,.167,4,6,.667,0,7,7,5,0,0,5,2,13,4.5,0
1030,50,49.0,2014-02-11,29-043,MIA,@,PHO,W (+6),1,40:59,12,22,.545,2,5,.400,11,14,.786,1,8,9,3,5,0,4,2,37,30.6,+8
1031,51,50.0,2014-02-12,29-044,MIA,@,GSW,W (+1),1,42:16,14,26,.538,4,8,.500,4,7,.571,1,12,13,9,2,0,2,1,36,32.4,-2
1032,52,51.0,2014-02-18,29-050,MIA,@,DAL,W (+11),1,38:28,16,23,.696,4,8,.500,6,8,.750,2,7,9,6,2,0,3,2,42,37.4,+19
1033,53,52.0,2014-02-20,29-052,MIA,@,OKC,W (+22),1,33:24,15,22,.682,1,5,.200,2,5,.400,1,6,7,3,4,0,8,1,33,22.6,+9
1034,55,53.0,2014-02-27,29-059,MIA,,NYK,W (+26),1,36:38,13,19,.684,1,2,.500,4,6,.667,0,4,4,4,0,0,1,0,31,25.1,+21
1035,56,54.0,2014-03-01,29-061,MIA,,ORL,W (+14),1,31:13,8,12,.667,0,2,.000,4,5,.800,1,8,9,7,4,0,2,1,20,24.0,+14
1036,57,55.0,2014-03-03,29-063,MIA,,CHA,W (+17),1,41:12,22,33,.667,8,10,.800,9,12,.750,3,4,7,4,0,0,2,2,61,48.8,+16
1037,58,56.0,2014-03-04,29-064,MIA,@,HOU,L (-3),1,36:38,9,18,.500,0,3,.000,4,6,.667,1,0,1,6,3,0,1,1,22,18.7,-15
1038,59,57.0,2014-03-06,29-066,MIA,@,SAS,L (-24),1,38:04,6,18,.333,0,3,.000,7,9,.778,3,5,8,7,2,0,5,5,19,11.5,-10
1039,60,58.0,2014-03-09,29-069,MIA,@,CHI,L (-7),1,45:19,8,23,.348,1,3,.333,0,0,,1,8,9,8,3,1,4,1,17,12.1,+6
1040,61,59.0,2014-03-10,29-070,MIA,,WAS,W (+9),1,36:45,10,15,.667,3,4,.750,0,0,,2,5,7,8,3,0,3,3,23,23.8,+16
1041,62,60.0,2014-03-12,29-072,MIA,,BRK,L (-1),1,38:03,6,13,.462,1,4,.250,6,9,.667,0,5,5,7,3,0,5,1,19,15.1,+2
1042,63,61.0,2014-03-14,29-074,MIA,,DEN,L (-4),1,39:50,8,17,.471,0,4,.000,5,7,.714,0,6,6,6,1,0,4,3,21,13.3,-8
